"","CL3","CC1","SV1","M31Fcsw","M11Fcsw","M31Plmr","M11Plmr","F21Plmr","M31Tong","M11Tong","LMEpi24M","SLEpi20M","AQC1cm","AQC4cm","AQC7cm","NP2","NP3","NP5","TRRsed1","TRRsed2","TRRsed3","TS28","TS29","Even1","Even2","Even3"
"512519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08533670506063e-06,1.21010144280395e-06,0,0,0,0,0,0,0,0
"554594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63030432841185e-06,0,0,3.57520807711009e-06,0,0,0,0,0
"210741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70784026062604e-06,0,0,0,0,0,0,0,0,0,0,0
"550229",0,0,0,0,0,0,0,0,4.9989952019644e-07,0,0,0,0,0,0,0,0,1.81515216420593e-06,0,0,0,0,0,0,0,0
"105798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08363785320587e-06,7.15041615422018e-06,0,0,0,0,0
"183473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05575856880392e-06,1.78760403855504e-05,0,0,0,0,0
"541313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76148522784515e-07,0,0,0,3.57520807711009e-06,0,0,0,0,0
"540305",0,0,0,0,0,0,0,0,4.9989952019644e-07,0,9.44469000638461e-07,0,8.56349143822126e-07,4.24235559339737e-07,5.88480032578255e-07,3.81946168507011e-06,2.70459409113806e-06,3.02525360700988e-06,0.00107347328244275,0.00267680065541058,0.00824085461773875,4.26682141005647e-06,0,1.80900671552629e-05,0,0
"511243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05575856880392e-06,2.50264565397706e-05,0,0,0,0,0
"568829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"185612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70392584514722e-05,4.25854649724411e-05,8.93802019277522e-05,0,0,0,0,0
"321018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70459409113806e-06,6.05050721401975e-07,0,1.82509135596176e-05,0.00041472413694477,0,0,0,0,0
"549041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02787928440196e-06,1.07256242313303e-05,0,0,0,0,0
"153762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05050721401975e-07,0,0,0,0,0,0,0,0
"155789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76148522784515e-07,0,0,0,0,0,0,0,0,0
"155495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76148522784515e-07,0,0,0,0,0,0,0,0,0
"1029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"155526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05050721401975e-07,5.11177753544166e-05,7.50315335228725e-05,0.0015230386408489,1.06670535251412e-06,0,4.11137889892339e-06,1.02978869765713e-06,0
"197473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88480032578255e-07,0,6.76148522784515e-07,1.81515216420593e-06,0,4.05575856880392e-06,0.000350370391556789,0,0,0,0,0
"315545",0,0,0,0,0,0,0,5.36777296467469e-06,4.9989952019644e-06,9.98133490373002e-06,0,0,1.71269828764425e-06,8.48471118679473e-07,0,1.90973084253505e-06,7.91093771657882e-05,0.000439871874459236,0.00369751908396947,0.0018676768209342,0.0024811944055144,0,0,8.22275779784679e-07,0,9.27436445099008e-07
"348549",0,0,0,6.47898767113436e-07,0,0,2.30471036704817e-06,0,3.99919616157152e-06,0,0,0,0,0,0,1.90973084253505e-06,3.17789805708722e-05,0.000466494106200923,0.00299890948745911,0.000892266885136862,0.00121557074621743,0,0,3.28910311913872e-06,1.02978869765713e-06,0
"559394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76148522784515e-07,1.21010144280395e-06,0.000323745910577972,1.62230342752157e-05,1.78760403855504e-05,0,0,0,0,0
"341551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05575856880392e-06,3.57520807711009e-06,0,0,0,0,0
"108964",0,8.80702659810103e-07,0,0,0,0,4.60942073409635e-06,3.22066377880481e-05,4.9989952019644e-07,0,4.7223450031923e-07,0,8.56349143822126e-07,0,5.88480032578255e-07,5.72919252760516e-06,4.7330396594916e-06,6.05050721401975e-07,0.00282851690294438,0.00696982110048953,0.022895632525813,1.06670535251412e-05,2.47714626144958e-06,1.72677913754783e-05,0,1.85487289019802e-06
"330416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70459409113806e-06,0,0,0,0,0,0,0,0,0
"573586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02787928440196e-06,7.15041615422018e-06,0,0,0,0,0
"568724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90973084253505e-06,6.76148522784515e-06,1.21010144280395e-06,5.11177753544166e-05,0.000306209771944696,0.00041829934502188,0,0,8.22275779784679e-07,0,0
"175045",0,0,0,0,4.81585147143526e-07,0,0,1.07355459293494e-05,0,0,1.41670350095769e-06,0,0,4.24235559339737e-07,1.17696006515651e-06,1.90973084253505e-06,4.05689113670709e-06,1.81515216420593e-06,0.00141425845147219,0.00343117174920811,0.0108328804736436,5.33352676257059e-06,0,2.22014460541863e-05,1.02978869765713e-06,0
"552540",0,0,0,0,0,0,0,0,0,0,0,3.28592834047475e-06,0,4.24235559339737e-07,1.76544009773476e-06,0,0,0,0,0,0,0,0,0,0,0
"546313",8.33259072976135e-05,0.000134747506950946,0.0161030180255739,0,4.81585147143526e-07,1.39093085265452e-06,0,5.36777296467469e-06,4.9989952019644e-07,0,0,0,8.56349143822126e-07,0,0,0,6.76148522784515e-07,0,0.00015335332606325,4.05575856880392e-05,3.9327288848211e-05,0,8.25715420483192e-07,1.64455155956936e-06,2.05957739531426e-06,2.68956569078712e-05
"548602",0,0,2.29387721162021e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08363785320587e-06,3.57520807711009e-06,0,0,0,0,0
"564501",0,0,4.30101977178789e-06,0,0,0,0,0,0,0,0,0,0,0,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"47778",1.15730426802241e-06,1.23298372373414e-05,0.000296770364253364,0,0,0,1.15235518352409e-05,0,0,0,0,0,0,0,0,0,0,0,0,8.11151713760783e-06,1.07256242313303e-05,0,0,0,0,1.85487289019802e-06
"54107",2.31460853604482e-06,7.6621131403479e-05,0.00106952024991792,0,0,0,6.91413110114452e-06,0.000187872053763614,0,0,0,0,0,0,0,0,0,0,3.40785169029444e-05,5.0696982110049e-05,6.07785373108715e-05,1.06670535251412e-06,8.25715420483192e-07,0,0,3.70974578039603e-06
"25116",1.15730426802241e-06,3.52281063924041e-06,0.000242290780477385,0,0,0,0,5.36777296467469e-06,0,0,0,0,0,0,0,0,0,0,0,2.23066721284215e-05,7.15041615422018e-06,0,0,8.22275779784679e-07,0,0
"71074",0.000107629296926084,0.000300319606995245,0.0169001403566119,6.47898767113436e-07,0,3.1991409611054e-05,0.000110626097618312,0.000311330831951132,9.99799040392881e-07,0,4.7223450031923e-07,8.21482085118688e-07,0,4.24235559339737e-07,0,0,6.76148522784515e-07,0,0.00015335332606325,0.000239289755559431,0.000182335611932614,0,8.25715420483192e-07,3.28910311913872e-06,3.08936609297138e-06,2.78230933529703e-05
"252853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02787928440196e-06,7.15041615422018e-06,0,0,0,0,0
"100679",6.94382560813446e-06,6.34105915063274e-05,0.00245014759666184,0,0,6.95465426327261e-06,2.53518140375299e-05,0.000101987686328819,0,0,4.7223450031923e-07,0,0,0,5.88480032578255e-07,0,0,0,0,6.69200163852646e-05,7.15041615422018e-05,2.13341070502824e-06,0,0,0,1.85487289019802e-06
"540349",1.85168682883586e-05,2.20175664952526e-05,0.0018221987099808,0,0,0,2.30471036704817e-06,0,0,0,0,0,0,0,0,0,0,0,0,8.11151713760783e-06,1.07256242313303e-05,0,0,0,0,1.85487289019802e-06
"1140",0,1.58526478765819e-05,0.000177775483900566,0,0,0,0,5.36777296467469e-06,0,0,0,0,0,0,0,0,0,0,0,6.08363785320587e-06,3.57520807711009e-06,0,0,0,0,9.27436445099008e-07
"101071",2.08314768244034e-05,0,4.30101977178789e-06,0,0,1.53002393791997e-05,0,4.29421837173975e-05,0,0,4.7223450031923e-07,0,0,0,0,0,0,0,0,8.11151713760783e-06,3.57520807711009e-06,0,0,0,0,0
"1143",1.15730426802241e-06,9.68772925791113e-06,1.43367325726263e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"141739",1.15730426802241e-06,3.4347403732594e-05,2.86734651452526e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02787928440196e-06,0,0,0,0,0,0
"1141",0,3.52281063924041e-06,1.57704058298889e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02787928440196e-06,0,0,0,0,0,0
"237125",0,6.16491861867072e-06,0.000107525494294697,0,0,0,6.91413110114452e-06,5.36777296467469e-06,0,0,0,0,0,0,0,0,0,0,0,2.43345514128235e-05,3.57520807711009e-05,0,0,0,0,0
"1144",9.25843414417928e-06,6.25298888465173e-05,0.000679561123942487,0,0,0,0,5.36777296467469e-06,0,0,0,0,0,0,0,0,0,0,1.70392584514722e-05,3.44739478348333e-05,1.07256242313303e-05,0,0,0,2.05957739531426e-06,9.27436445099008e-07
"512943",8.10112987615687e-06,2.46596744746829e-05,0.000424367284149739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83903099816274e-05,3.9327288848211e-05,0,0,0,0,9.27436445099008e-07
"235345",0,1.93754585158223e-05,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,1.17696006515651e-06,0,0,0,0,2.02787928440196e-06,0,0,0,0,0,0
"141417",9.25843414417928e-06,7.6621131403479e-05,0.000927586597448922,0,0,0,9.21884146819269e-06,1.61033188940241e-05,4.9989952019644e-07,9.98133490373002e-06,0,0,0,4.24235559339737e-07,0,0,0,0,1.70392584514722e-05,2.83903099816274e-05,7.15041615422018e-06,0,0,0,0,1.85487289019802e-06
"268471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17696006515651e-06,0,0,0,0,0,0,0,0,0,0,0
"395774",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,1.76544009773476e-06,0,0,0,0,0,0,0,0,0,0,0
"142115",0,0,0,0,0,0,0,0,0,0,0,0,2.56904743146638e-06,3.43630803065187e-05,4.23705623456343e-05,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"239672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5196292257361e-05,2.83903099816274e-05,0.000235963733089266,0,0,0,0,0
"462844",0,0,0,0,0,0,0,5.36777296467469e-06,0,0,0,0,0,0,0,0,0,0,5.11177753544166e-05,4.25854649724411e-05,0.000107256242313303,0,0,0,0,0
"243675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2229785773532e-05,0,0,0,0,0
"444679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79289534650917e-05,0,0,0,0,0
"540290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40785169029444e-05,1.01393964220098e-05,5.00529130795412e-05,0,0,0,0,0
"523571",0,0,0,0,0,0,0,0,0,0,0,0,1.71269828764425e-06,1.10301245428332e-05,2.11852811728172e-05,0,0,0,0,0,0,0,0,0,0,0
"545095",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,4.24235559339737e-07,2.35392013031302e-06,0,0,0,0,0,0,0,0,0,0,0
"105679",0,0,0,0,0,0,0,0,0,0,0,0,0,7.63624006811526e-06,6.4732803583608e-06,0,0,0,0,0,0,0,0,0,0,0
"105066",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"515962",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,2.54541335603842e-06,5.88480032578255e-06,0,0,0,0,0,0,0,0,0,0,0
"525569",0,0,0,0,0,0,0,0,0,0,4.7223450031923e-07,0,8.56349143822126e-07,5.93929783075631e-06,1.05926405864086e-05,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"238793",0,0,0,0,0,0,0,0,0,0,0,0,1.45579354449761e-05,8.31501696305884e-05,0.000144766088014251,0,0,0,1.70392584514722e-05,0,0,0,0,0,0,0
"538819",0,0,0,0,0,0,0,0,0,0,0,0,1.71269828764425e-06,1.10301245428332e-05,1.76544009773476e-05,0,0,0,0,0,0,0,0,0,0,0
"515691",0,0,0,0,0,0,0,0,0,0,0,1.64296417023738e-06,1.54142845887983e-05,7.93320495965308e-05,0.000125346246939168,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"525464",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-06,3.98781425779353e-05,6.7086723713921e-05,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"529521",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,5.09082671207684e-06,1.35350407492999e-05,0,0,0,0,0,0,0,0,0,0,0
"202343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08363785320587e-06,0,0,0,0,0,0
"455926",0,0,0,0,0,0,0,0,4.9989952019644e-07,0,0,8.21482085118688e-07,6.85079315057701e-06,5.17567382394479e-05,8.17987245283774e-05,0,0,0,0,0,7.15041615422018e-06,0,0,0,0,0
"246371",0,0,0,0,0,0,0,0,0,9.98133490373002e-06,4.7223450031923e-06,1.06792671065429e-05,0.000122457927566564,0.000733927517657745,0.00110281158105165,1.90973084253505e-05,0,0,1.70392584514722e-05,2.02787928440196e-06,3.57520807711009e-06,0,8.25715420483192e-07,1.64455155956936e-06,0,0
"282132",0,0,0,0,0,0,0,0,0,0,0,0,0,1.14543601021729e-05,1.76544009773476e-05,0,0,0,0,0,0,0,0,0,0,0
"254458",0,0,0,0,0,0,0,0,0,1.996266980746e-05,1.88893800127692e-06,1.64296417023738e-06,5.39499960607939e-05,0.00033769150523443,0.000494323227365734,7.63892337014021e-06,0,0,1.70392584514722e-05,0,0,0,0,8.22275779784679e-07,0,0
"245697",0,2.64210797943031e-06,0,6.47898767113436e-07,4.81585147143526e-07,0,0,0,9.99799040392881e-07,9.98133490373002e-06,8.97245550606538e-06,2.54659446386793e-05,0.000553201546909093,0.00269389580180733,0.00380099253042295,8.02086953864722e-05,1.35229704556903e-06,1.81515216420593e-06,0,4.05575856880392e-06,0,0,0,4.93365467870807e-06,1.02978869765713e-06,9.27436445099008e-07
"45742",0,0,0,0,0,0,0,0,0,0,4.7223450031923e-07,0,2.39777760270195e-05,0.000136179614548055,0.000120638406678542,3.81946168507011e-06,0,0,0,2.02787928440196e-06,0,0,0,0,0,0
"441638",0,0,0,0,0,0,0,0,0,0,4.7223450031923e-07,0,8.56349143822126e-07,1.23028312208524e-05,7.06176039093906e-06,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"251993",0,0,0,0,0,0,0,0,0,0,0,8.21482085118688e-07,5.13809486293276e-06,2.54541335603842e-05,2.5304641400865e-05,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"462098",0,0,0,0,0,0,0,0,0,0,4.7223450031923e-07,8.21482085118688e-07,5.13809486293276e-06,4.79386182053903e-05,4.76668826388386e-05,0,0,0,0,0,0,0,0,8.22275779784679e-07,0,0
"570593",0,0,0,0,0,0,0,0,0,0,0,8.21482085118688e-07,9.41984058204339e-06,5.26052093581274e-05,7.82678443329079e-05,0,0,0,0,0,0,0,0,0,0,0
"159421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"104332",0,0,0,0,0,0,0,0,0,0,0,0,0,5.93929783075631e-06,5.88480032578255e-06,0,0,0,0,4.05575856880392e-06,0.000307467894631468,0,8.25715420483192e-07,0,0,0
"137608",0,0,0,0,0,0,0,0,0,0,0,0,0,1.69694223735895e-06,1.47120008144564e-05,0,0,0,0,0,0,0,0,0,0,0
"200619",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,4.24235559339737e-06,3.53088019546953e-06,0,0,1.21010144280395e-06,0,2.02787928440196e-06,0.00083302348196665,1.06670535251412e-06,0,1.64455155956936e-06,0,0
"568129",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,3.39388447471789e-06,3.53088019546953e-06,0,0,0,0,0,3.21768726939908e-05,0,0,0,0,0
"348720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70392584514722e-05,0,1.07256242313303e-05,0,0,8.22275779784679e-07,0,0
"528115",0,0,0,0,0,0,0,0,0,0,0,8.21482085118688e-07,1.71269828764425e-06,1.06058889834934e-05,1.88313610425041e-05,0,2.70459409113806e-06,0,0,0,0,0,0,0,0,0
"257655",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,1.17696006515651e-06,0,0,0,0,4.05575856880392e-06,7.15041615422018e-06,0,0,0,0,0
"173903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"47016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"548723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"542636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"526502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"311512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"132088",0,0,0,0,0,0,3.68753658727708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202347",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"152431",0,0,0,0,0,0,0,0,0,0,0,0,3.4253965752885e-06,1.06058889834934e-05,1.47120008144564e-05,0,0,0,0,0,0,0,0,0,0,0
"272691",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"236606",0,0,0,0,0,0,0,0,0,0,0,0,4.28174571911063e-06,3.81812003405763e-05,5.88480032578255e-05,0,0,0,0,0,0,0,0,0,0,0
"525",0,0,0,0,0,0,0,0,0,0,4.7223450031923e-07,0,2.56904743146638e-06,1.4424009017551e-05,2.05968011402389e-05,0,0,0,0,0,0,0,0,0,0,0
"52710",0,0,0,0,0,0,0,0,0,0,0,0,2.56904743146638e-06,2.54541335603842e-06,7.06176039093906e-06,0,0,0,0,0,0,0,0,0,0,0
"592689",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,4.24235559339737e-07,2.35392013031302e-06,0,0,0,0,2.02787928440196e-06,0,0,0,0,0,0
"55681",0,0,0,0,0,0,0,0,0,0,0,0,0,3.81812003405763e-06,4.11936022804778e-06,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"206978",0,0,0,0,0,0,0,0,0,0,0,0,3.4253965752885e-06,1.10301245428332e-05,2.23622412379737e-05,0,0,0,0,0,0,0,0,0,0,0
"467541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"566371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57520807711009e-06,0,0,0,0,0
"453468",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,0,0,0,0,0,0,0,0,0,0,0,0
"557121",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,0,0,0,0,0,0,0,0,0,0,0,0
"524986",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,0,0,0,0,0,0,0,0,0,0,0,0
"102663",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,8.48471118679473e-07,2.35392013031302e-06,0,0,0,0,0,0,0,0,0,0,0
"264985",0,0,0,0,0,0,0,0,0,0,0,0,0,2.54541335603842e-06,1.76544009773476e-06,0,0,0,0,0,0,0,0,0,0,0
"37119",0,0,0,0,0,0,0,0,0,0,0,0,0,3.39388447471789e-06,7.65024042351731e-06,0,0,0,0,0,0,0,0,0,0,0
"349670",0,0,0,0,0,0,0,0,0,0,0,0,0,2.50298980010445e-05,3.17779217592257e-05,0,0,0,0,0,0,0,0,0,0,0
"240012",0,0,0,0,0,0,0,0,0,0,0,0,0,2.96964891537816e-06,7.65024042351731e-06,0,0,0,0,0,0,0,0,0,0,0
"248224",0,0,0,0,0,0,0,0,0,0,0,0,7.70714229439913e-06,2.2484484645006e-05,3.88396821501648e-05,0,0,0,0,0,0,0,0,0,0,0
"236057",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,2.54541335603842e-06,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"236619",0,0,0,0,0,0,0,0,0,0,0,0,0,2.12117779669868e-06,3.53088019546953e-06,0,0,0,0,0,0,0,0,0,0,0
"565033",1.15730426802241e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212360",1.15730426802241e-05,1.76140531962021e-06,5.73469302905052e-06,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"146124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76148522784515e-07,0.000102858622638336,1.70392584514722e-05,0,0,0,0,0,0,0
"251552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70392584514722e-05,6.08363785320587e-06,1.43008323084404e-05,0,0,0,0,0
"542257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41991189784748e-05,0,0,0,0,0,0,0,0,0
"548984",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"201596",0,0,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,8.48471118679473e-07,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"158026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15041615422018e-06,0,0,0,0,0
"62881",0,0,0,0,0,0,0,0,4.9989952019644e-07,9.98133490373002e-06,9.44469000638461e-07,1.64296417023738e-06,0.000202954747085844,0.000254541335603842,0.000406639702511574,5.72919252760516e-06,6.76148522784515e-07,0,0,0,0,0,0,2.46682733935404e-06,0,0
"329648",0,0,0,0,0,0,0,0,0,0,0,0,3.16849183214187e-05,7.04231028503963e-05,0.000123580806841433,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"570725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"206080",0,0,0,0,0,0,0,0,0,0,0,0,1.71269828764425e-06,8.48471118679473e-07,1.76544009773476e-06,0,0,0,0,0,0,0,0,0,0,0
"547371",0,0,0,0,0,0,0,0,0,0,9.44469000638461e-07,1.64296417023738e-06,0.000166131733901492,0.000109028538750312,0.000155947208633237,7.63892337014021e-06,0,0,0,0,0,0,0,0,1.02978869765713e-06,0
"140729",0,0,0,0,0,0,0,0,0,0,4.7223450031923e-07,0,8.39222160945683e-05,5.59990938328453e-05,7.35600040722818e-05,3.81946168507011e-06,0,0,0,0,0,0,0,8.22275779784679e-07,0,0
"347836",1.73595640203362e-05,0,8.60203954357578e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76707",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,0,0,0,0,0,0,0,0,0,0,0,0
